ip,location,country,country_code,region_province,region_code,city,region(ip2location),city(ip2location),district(ip2location),region(ip-API),city(ip-API),region(key-cdn),city(key-cdn)
140.213.138.238,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Banten"", ""city"": ""Serang"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Central Java,JT,Kudus,Banten,Tangerang,Kota Tangerang,Banten,Tangerang,Banten,Tangerang
140.213.138.238,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Banten"", ""city"": ""Serang"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Central Java,JT,Kudus,Banten,Tangerang,Kota Tangerang,Banten,Tangerang,Banten,Tangerang
182.4.71.244,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Sumatera Barat"", ""city"": ""Padang"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,West Sumatra,SB,Padang,West Sumatra,Padang,Pasaman,West Sumatra,Padang,West Sumatra,Padang
140.213.138.238,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Banten"", ""city"": ""Serang"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Central Java,JT,Kudus,Banten,Tangerang,Kota Tangerang,Banten,Tangerang,Banten,Tangerang
103.47.134.83,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Banten"", ""city"": ""Serang"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,,,,Jawa Barat,Arjawinangun,Kabupaten Cirebon,Jakarta,Jakarta,Jakarta,Jakarta
182.0.140.19,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Jawa Barat"", ""city"": ""Bekasi"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Jakarta,JK,Jakarta,Jawa Barat,Bekasi,Kota Bekasi,Jakarta,Jakarta,Jakarta,Jakarta
202.65.225.197,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Jakarta Raya"", ""city"": ""Jakarta"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Jakarta,JK,Jakarta,Jakarta Raya,Jakarta,Kota Jakarta Selatan,Jakarta,Jakarta,Jakarta,Jakarta
182.9.33.233,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Jakarta Raya"", ""city"": ""Jakarta"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,North Sumatra,SU,Medan,Sumatera Utara,Rantau Prapat,Kabupaten Labuhanbatu,North Sumatra,Medan,North Sumatra,Medan
202.65.225.197,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Jakarta Raya"", ""city"": ""Jakarta"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Jakarta,JK,Jakarta,Jakarta Raya,Jakarta,Kota Jakarta Selatan,Jakarta,Jakarta,Jakarta,Jakarta
114.10.137.227,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Jakarta Raya"", ""city"": ""Jakarta"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,West Kalimantan,KB,Pontianak,Kalimantan Barat,Bengkayang,Kabupaten Bengkayang,West Kalimantan,Pontianak,West Kalimantan,Pontianak
125.162.210.195,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Sulawesi Selatan"", ""city"": ""Makassar"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,South Sulawesi,,,,,,,,,
140.213.186.8,"{""country"": ""Indonesia"", ""country_Code"": ""ID"", ""region"": ""Bali"", ""city"": ""Denpasar"", ""time_zone"": ""+07:00"", ""isp"": ""This parameter is unavailable for selected data file. Please upgrade the data file.""}",Indonesia,ID,Bali,,,,,,,,,
